Sex,Age,Pclass2,Family,Family2,Fare2,Cabin2,Embarked2,Survived2
male,58.0,1ra,0,single,3.4242626545931514,yes,C,no
male,30.0,3ra,0,single,2.2027647577118348,no,S,no
male,9.0,3ra,2,family,2.827313621929028,no,S,yes
male,,3ra,1,couple,3.0429354648621407,no,S,no
male,21.0,3ra,0,single,2.1102132003465894,no,S,no
male,55.0,1ra,0,single,3.449987545831587,yes,S,no
male,71.0,1ra,0,single,3.922056501139853,no,C,no
male,21.0,3ra,0,single,2.2027647577118348,no,S,no
male,,3ra,0,single,2.738146075922933,no,C,no
female,54.0,1ra,1,couple,4.37281811610993,yes,C,yes
male,,3ra,0,single,2.7788192719904172,no,S,no
female,25.0,1ra,3,family,5.027492411162679,yes,S,no
male,24.0,3ra,0,single,2.174274334826008,no,S,no
male,17.0,3ra,0,single,2.2682524139135403,no,S,no
female,21.0,3ra,0,single,2.169053700369523,no,Q,no
female,,3ra,0,single,2.155151800914312,no,Q,no
female,37.0,3ra,0,single,2.3596740599781727,no,S,no
female,16.0,1ra,0,single,4.471638793363569,yes,S,yes
male,18.0,1ra,1,couple,4.699570861409576,yes,C,no
female,33.0,2da,2,family,3.295836866004329,no,S,yes
male,,1ra,0,single,3.3160025355989236,no,S,yes
male,28.0,3ra,0,single,3.1580636854714434,no,S,no
male,26.0,3ra,0,single,4.05171190165724,no,S,yes
male,29.0,3ra,0,single,2.169053700369523,no,Q,yes
male,,3ra,0,single,2.2027647577118348,no,S,no
male,36.0,1ra,0,single,3.3064287218760624,yes,S,yes
female,54.0,1ra,1,couple,4.100989104940769,no,C,yes
male,24.0,3ra,0,single,2.139571923732859,no,S,no
male,47.0,1ra,0,single,3.5559421706858756,yes,S,no
female,34.0,2da,0,single,2.4423470353692043,yes,S,yes
male,,3ra,0,single,3.224857896545748,no,Q,no
female,36.0,2da,1,couple,3.295836866004329,no,S,yes
male,32.0,3ra,0,single,2.1855792552411137,no,S,no
female,30.0,1ra,0,single,4.548599834499697,yes,S,yes
male,22.0,3ra,0,single,2.1855792552411137,no,S,no
male,,3ra,0,single,2.1071782966514356,no,C,no
female,44.0,1ra,1,couple,4.077184839375167,yes,C,yes
male,,3ra,0,single,2.1076888046179385,no,C,no
male,40.5,3ra,0,single,2.169053700369523,no,Q,no
female,50.0,2da,0,single,2.4423470353692043,no,S,yes
male,,1ra,0,single,5.406181146423973,yes,S,no
male,39.0,3ra,0,single,2.188856327665703,no,S,no
male,23.0,2da,3,family,2.5257286443082556,no,S,no
female,2.0,2da,2,family,3.295836866004329,no,S,yes
male,,3ra,0,single,2.1076888046179385,no,C,no
male,17.0,3ra,2,family,2.1076888046179385,no,C,no
female,,3ra,2,family,3.1509523813392697,no,C,yes
female,30.0,3ra,0,single,2.2682524139135403,no,S,no
female,7.0,2da,2,family,3.305053521109253,no,S,yes
male,45.0,1ra,0,single,3.3160025355989236,yes,S,no
female,30.0,1ra,0,single,4.676792929661059,no,C,yes
male,,3ra,0,single,2.740840023925201,no,S,no
female,22.0,1ra,2,family,3.9219733362813143,yes,C,yes
female,36.0,1ra,2,family,4.276666119016055,yes,S,yes
female,9.0,3ra,6,family,3.4742929367327062,no,S,no
female,11.0,3ra,6,family,3.4742929367327062,no,S,no
male,32.0,2da,1,couple,3.295836866004329,no,S,yes
male,50.0,1ra,1,couple,4.676792929661059,yes,C,no
male,64.0,1ra,0,single,3.295836866004329,no,S,no
female,19.0,2da,1,couple,3.295836866004329,no,S,yes
male,,2da,0,single,2.6988412620169004,no,C,yes
male,33.0,3ra,2,family,3.0692150503137943,no,S,no
male,8.0,2da,2,family,3.6309854756950335,no,S,yes
male,17.0,1ra,2,family,4.717456363787216,yes,C,yes
male,27.0,2da,0,single,3.295836866004329,no,S,no
male,,3ra,0,single,2.17806441028492,no,Q,no
male,22.0,3ra,0,single,2.1071782966514356,no,C,yes
female,22.0,3ra,0,single,2.1719067693519296,no,S,yes
male,62.0,1ra,0,single,3.3160025355989236,no,S,no
female,48.0,1ra,1,couple,3.703768066607687,yes,C,yes
male,,1ra,0,single,5.4316456135398825,no,C,no
female,39.0,1ra,2,family,4.390118804571218,yes,S,yes
female,36.0,3ra,1,couple,2.91235066461494,no,S,yes
male,,3ra,0,single,2.169053700369523,no,Q,no
male,40.0,3ra,0,single,2.1855792552411137,no,S,no
male,28.0,2da,0,single,2.6741486494265287,no,S,no
male,,3ra,0,single,2.2027647577118348,no,S,no
female,,3ra,0,single,2.2027647577118348,no,S,no
male,24.0,3ra,2,family,3.224857896545748,no,S,no
male,19.0,3ra,0,single,2.1855792552411137,no,S,no
female,29.0,3ra,4,family,3.0944457464900235,no,S,no
male,,3ra,0,single,2.1076888046179385,no,C,no
male,32.0,3ra,0,single,2.180891922715322,no,S,yes
male,62.0,2da,0,single,2.4423470353692043,no,S,yes
female,53.0,1ra,2,family,3.960416900617205,yes,S,yes
male,36.0,1ra,0,single,3.3100867049215847,yes,S,yes
female,,3ra,0,single,2.169053700369523,no,Q,yes
male,16.0,3ra,0,single,2.2027647577118348,no,S,no
male,19.0,3ra,0,single,2.740840023925201,no,S,no
female,34.0,2da,0,single,2.6390573296152584,no,S,yes
female,39.0,1ra,1,couple,4.041295341132285,yes,S,yes
female,,3ra,1,couple,2.738146075922933,no,C,no
male,32.0,3ra,0,single,2.188856327665703,no,S,yes
female,25.0,2da,2,family,3.4339872044851463,no,S,yes
female,39.0,1ra,2,family,4.717456363787216,yes,C,yes
male,54.0,2da,0,single,3.295836866004329,no,S,no
male,36.0,1ra,0,single,3.716616209085536,yes,C,no
male,,3ra,0,single,2.2734137156937657,no,C,no
female,18.0,1ra,2,family,4.390118804571218,yes,S,yes
male,47.0,2da,0,single,2.772588722239781,no,S,no
male,60.0,1ra,2,family,4.384523514872469,yes,C,yes
male,22.0,3ra,0,single,2.2027647577118348,no,S,no
male,,3ra,0,single,2.2027647577118348,no,S,no
male,35.0,3ra,0,single,2.094945728215801,no,S,no
female,52.0,1ra,1,couple,4.37281811610993,yes,C,yes
male,47.0,3ra,0,single,2.1102132003465894,no,S,no
female,,3ra,2,family,2.169053700369523,no,Q,no
male,37.0,2da,1,couple,3.295836866004329,no,S,no
male,36.0,3ra,2,family,3.224857896545748,no,S,no
female,,2da,0,single,3.5263605246161616,no,S,yes
male,49.0,3ra,0,single,0.0,no,S,no
male,,3ra,0,single,2.1071782966514356,no,C,no
male,49.0,1ra,1,couple,4.0592215752427645,yes,C,yes
female,24.0,2da,3,family,3.332204510175204,no,S,yes
male,,3ra,0,single,2.1855792552411137,no,S,no
male,,1ra,0,single,3.770459441106359,no,S,no
male,44.0,3ra,0,single,2.2027647577118348,no,S,no
male,35.0,1ra,0,single,3.3160025355989236,no,C,yes
male,36.0,3ra,1,couple,2.806386101823072,no,S,no
male,30.0,3ra,0,single,2.1855792552411137,no,S,no
male,27.0,1ra,0,single,3.449987545831587,no,S,yes
female,22.0,2da,3,family,3.7513658711253766,no,C,yes
female,40.0,1ra,0,single,5.039951348430309,yes,S,yes
female,39.0,3ra,6,family,3.4742929367327062,no,S,no
male,,3ra,0,single,2.085672091430472,no,S,no
female,,3ra,1,couple,2.803360380906535,no,Q,yes
male,,3ra,0,single,2.169053700369523,no,Q,no
male,35.0,3ra,0,single,2.2027647577118348,no,S,no
female,24.0,2da,3,family,4.189654742026425,no,S,yes
male,34.0,3ra,2,family,2.7343675094195836,no,S,no
female,26.0,3ra,1,couple,2.8390784635086144,no,S,no
female,4.0,2da,3,family,3.6888794541139363,yes,S,yes
male,26.0,2da,0,single,2.4423470353692043,no,S,no
male,27.0,3ra,1,couple,2.737880811060884,no,C,no
male,42.0,1ra,1,couple,3.9806942251907276,yes,S,yes
male,20.0,3ra,2,family,2.817902613071225,no,C,yes
male,21.0,3ra,0,single,2.180891922715322,no,S,no
male,21.0,3ra,0,single,2.8390784635086144,no,S,no
male,61.0,1ra,0,single,3.5061818266142577,yes,S,no
male,57.0,2da,0,single,2.5915163848462583,no,Q,no
female,21.0,1ra,0,single,4.368919865004903,yes,S,yes
male,26.0,3ra,0,single,2.1855792552411137,no,S,no
male,,3ra,0,single,2.167143305297764,no,Q,no
male,80.0,1ra,0,single,3.4339872044851463,yes,S,yes
male,51.0,3ra,0,single,2.086193694502369,no,S,no
male,32.0,1ra,0,single,3.449987545831587,yes,C,yes
male,,1ra,0,single,0.0,no,S,no
female,9.0,3ra,5,family,3.3638415951183864,no,S,no
female,28.0,2da,0,single,2.6390573296152584,no,S,yes
male,32.0,3ra,0,single,2.188856327665703,no,S,no
male,31.0,2da,2,family,3.305053521109253,no,S,no
female,41.0,3ra,5,family,3.705920919968788,no,S,no
male,,3ra,1,couple,2.8390784635086144,no,S,no
male,20.0,3ra,0,single,2.180891922715322,no,S,no
female,24.0,1ra,0,single,4.252771798816619,yes,C,yes
female,2.0,3ra,5,family,3.3638415951183864,no,S,no
male,,3ra,0,single,4.05171190165724,no,S,yes
female,,3ra,3,family,3.0085645861193133,no,C,yes
male,48.0,1ra,1,couple,4.353230991152628,yes,C,yes
male,19.0,3ra,0,single,2.1855792552411137,no,S,no
male,56.0,1ra,0,single,3.597312260588446,yes,C,yes
male,,3ra,0,single,2.145931282948669,no,S,no
female,23.0,3ra,0,single,2.145931282948669,no,S,yes
male,,3ra,0,single,2.1855792552411137,no,S,no
female,18.0,2da,1,couple,3.1780538303479458,no,S,yes
male,21.0,3ra,0,single,2.2442459824059346,no,S,no
female,,3ra,0,single,2.17806441028492,no,Q,yes
female,18.0,3ra,0,single,2.0476928433652555,no,Q,no
male,24.0,2da,2,family,4.310799125385514,no,S,no
male,,3ra,0,single,2.1855792552411137,no,S,no
female,32.0,3ra,2,family,2.803360380906535,no,Q,no
male,23.0,2da,0,single,2.6390573296152584,no,S,no
male,58.0,1ra,2,family,4.738607824217808,yes,C,no
male,50.0,1ra,2,family,4.902678819257608,no,S,yes
male,40.0,3ra,0,single,2.1071782966514356,no,C,no
male,47.0,1ra,0,single,3.2804411805263554,yes,S,no
male,36.0,3ra,0,single,2.139571923732859,no,S,no
male,20.0,3ra,1,couple,2.188856327665703,no,S,yes
male,32.0,2da,2,family,4.310799125385514,no,S,no
male,25.0,2da,0,single,2.6390573296152584,no,S,no
male,,3ra,0,single,2.1719067693519296,no,S,no
male,43.0,3ra,0,single,2.2027647577118348,no,S,no
female,,1ra,1,couple,3.970291913552122,yes,S,yes
female,40.0,2da,2,family,3.6888794541139363,no,S,yes
male,31.0,1ra,1,couple,3.970291913552122,yes,S,no
male,70.0,2da,0,single,2.4423470353692043,no,S,no
male,31.0,2da,0,single,2.6390573296152584,no,S,yes
male,,2da,0,single,0.0,no,S,no
male,18.0,3ra,0,single,2.1719067693519296,no,S,no
male,24.5,3ra,0,single,2.2027647577118348,no,S,no
female,18.0,3ra,0,single,2.3833998102837652,no,S,yes
female,43.0,3ra,7,family,3.8691155044168695,no,S,no
male,36.0,1ra,1,couple,6.240917354759096,yes,C,yes
female,,3ra,0,single,2.212386825075897,no,Q,no
male,27.0,1ra,0,single,4.353230991152628,yes,C,yes
male,20.0,3ra,0,single,2.3248357019288655,no,S,no
male,14.0,3ra,7,family,3.8691155044168695,no,S,no
male,60.0,2da,2,family,3.6888794541139363,no,S,no
male,25.0,2da,3,family,3.7513658711253766,no,C,no
male,14.0,3ra,5,family,3.705920919968788,no,S,no
male,19.0,3ra,0,single,2.4133032309283076,no,S,no
male,18.0,3ra,0,single,2.174274334826008,no,S,no
female,15.0,1ra,1,couple,5.35817698994543,yes,S,yes
male,31.0,1ra,1,couple,4.060443010546419,yes,S,yes
female,4.0,3ra,1,couple,2.668387256845834,no,C,yes
male,,3ra,0,single,4.05171190165724,no,S,yes
male,25.0,3ra,0,single,2.1071782966514356,no,C,no
male,60.0,1ra,0,single,3.3160025355989236,no,S,no
male,52.0,2da,0,single,2.6741486494265287,no,S,no
male,44.0,3ra,0,single,2.2027647577118348,no,S,no
female,,3ra,0,single,2.167143305297764,no,Q,yes
male,49.0,1ra,2,family,4.717456363787216,yes,C,no
male,42.0,3ra,0,single,2.157559320943788,yes,S,no
female,18.0,1ra,1,couple,5.4316456135398825,yes,C,yes
male,35.0,1ra,0,single,3.3064287218760624,yes,S,yes
female,18.0,3ra,1,couple,2.737880811060884,no,C,no
male,25.0,3ra,0,single,2.1681046787623672,no,Q,no
male,26.0,3ra,1,couple,2.180891922715322,no,S,no
male,39.0,2da,0,single,3.295836866004329,no,S,no
female,45.0,2da,0,single,2.6741486494265287,no,S,yes
male,42.0,1ra,0,single,3.3064287218760624,yes,S,yes
female,22.0,1ra,0,single,5.027492411162679,no,S,yes
male,,3ra,2,family,2.7878344138303452,no,C,yes
female,24.0,1ra,0,single,3.922056501139853,yes,C,yes
male,,1ra,0,single,3.3160025355989236,yes,S,no
male,48.0,1ra,1,couple,3.970291913552122,yes,S,yes
male,29.0,3ra,0,single,2.3497835148230464,no,S,no
male,52.0,2da,0,single,2.6390573296152584,no,S,no
male,19.0,3ra,0,single,2.157559320943788,yes,S,no
female,38.0,1ra,0,single,5.4316456135398825,yes,C,yes
female,27.0,2da,0,single,2.4423470353692043,yes,S,yes
male,,3ra,0,single,2.803360380906535,no,Q,no
male,33.0,3ra,0,single,2.1719067693519296,no,S,no
female,6.0,2da,1,couple,3.5263605246161616,no,S,yes
male,17.0,3ra,1,couple,2.086193694502369,no,S,no
male,34.0,2da,0,single,2.6390573296152584,no,S,no
male,50.0,2da,0,single,2.6390573296152584,no,S,no
male,27.0,1ra,1,couple,3.9908341858524357,yes,S,yes
male,20.0,3ra,0,single,2.2682524139135403,no,S,no
female,30.0,2da,3,family,3.091042453358316,no,S,yes
female,,3ra,0,single,2.1676241075599285,no,Q,yes
male,25.0,2da,1,couple,3.295836866004329,no,S,no
female,25.0,3ra,1,couple,2.188856327665703,no,S,no
female,29.0,1ra,0,single,5.35817698994543,yes,S,yes
male,11.0,3ra,0,single,2.9850504252071306,no,C,no
male,,2da,0,single,0.0,no,S,no
male,23.0,2da,0,single,2.6390573296152584,no,S,no
male,23.0,2da,0,single,2.6390573296152584,no,S,no
male,28.5,3ra,0,single,2.8390784635086144,no,S,no
female,48.0,3ra,4,family,3.5660053559634015,no,S,no
male,35.0,1ra,0,single,6.240917354759096,yes,C,yes
male,,3ra,0,single,2.1855792552411137,no,S,no
male,,3ra,0,single,2.1855792552411137,no,S,no
male,,1ra,0,single,3.4339872044851463,yes,S,yes
male,36.0,1ra,1,couple,4.380149874661021,yes,S,no
female,21.0,1ra,4,family,5.5735788721243535,yes,C,yes
male,24.0,3ra,1,couple,2.8390784635086144,no,S,no
male,31.0,3ra,0,single,2.188856327665703,no,S,yes
male,70.0,1ra,2,family,4.276666119016055,yes,S,no
male,16.0,3ra,2,family,3.056356895370426,no,S,no
female,30.0,2da,0,single,2.6390573296152584,no,S,yes
male,19.0,1ra,1,couple,3.9908341858524357,yes,S,no
male,31.0,3ra,0,single,2.169053700369523,no,Q,no
female,4.0,2da,2,family,3.1780538303479458,no,S,yes
male,6.0,3ra,1,couple,2.600836116795061,yes,S,yes
male,33.0,3ra,0,single,2.3513752571634776,no,S,no
male,23.0,3ra,0,single,2.1855792552411137,no,S,no
female,48.0,2da,3,family,4.189654742026425,no,S,yes
male,,2da,2,family,2.740840023925201,no,S,yes
male,28.0,3ra,0,single,2.174274334826008,no,S,no
male,18.0,2da,0,single,2.5257286443082556,no,S,no
male,34.0,3ra,0,single,2.2027647577118348,no,S,no
female,33.0,1ra,0,single,4.471638793363569,yes,S,yes
male,,3ra,0,single,2.740840023925201,no,S,no
male,41.0,3ra,0,single,2.094945728215801,no,S,no
male,20.0,3ra,0,single,2.1076888046179385,no,C,yes
female,36.0,1ra,3,family,4.795790545596741,yes,S,yes
male,16.0,3ra,0,single,2.1719067693519296,no,S,no
female,51.0,1ra,1,couple,4.368919865004903,yes,S,yes
male,,1ra,0,single,3.703768066607687,no,C,no
female,30.5,3ra,0,single,2.169053700369523,no,Q,no
male,,3ra,1,couple,3.224857896545748,no,Q,no
male,32.0,3ra,0,single,2.236712348843338,no,S,no
male,24.0,3ra,0,single,2.3513752571634776,no,S,no
male,48.0,3ra,0,single,2.180891922715322,no,S,no
female,57.0,2da,0,single,2.4423470353692043,yes,S,no
male,,3ra,0,single,2.1071782966514356,no,C,no
female,54.0,2da,4,family,3.1780538303479458,no,S,yes
male,18.0,3ra,0,single,2.169053700369523,no,S,no
male,,3ra,0,single,2.169053700369523,yes,Q,no
female,5.0,3ra,0,single,2.600836116795061,no,S,yes
male,,3ra,0,single,2.1676241075599285,no,Q,no
female,43.0,1ra,1,couple,5.35817698994543,yes,S,yes
female,13.0,3ra,0,single,2.1076888046179385,no,C,yes
female,17.0,1ra,1,couple,4.060443010546419,yes,S,yes
male,29.0,1ra,0,single,3.4339872044851463,yes,S,no
male,,3ra,3,family,3.196630215920881,no,S,no
male,25.0,3ra,0,single,2.085672091430472,no,S,no
male,25.0,3ra,0,single,2.1102132003465894,no,S,no
female,18.0,3ra,0,single,2.139571923732859,no,S,yes
male,8.0,3ra,5,family,3.405355391810819,no,Q,no
male,1.0,3ra,3,family,3.0715352369694915,no,S,yes
male,46.0,1ra,0,single,4.384523514872469,yes,C,no
male,,3ra,0,single,2.169053700369523,no,Q,no
male,16.0,2da,0,single,3.295836866004329,no,S,no
female,,3ra,10,family,4.256321678298823,no,S,no
male,,1ra,0,single,3.4561841799918147,no,C,no
male,25.0,3ra,0,single,2.1855792552411137,no,S,no
male,39.0,2da,0,single,2.6390573296152584,no,S,no
female,49.0,1ra,0,single,3.2932111997353943,yes,S,yes
female,31.0,3ra,0,single,2.270402752283094,no,S,yes
male,30.0,3ra,0,single,2.1076888046179385,no,C,no
female,30.0,3ra,2,family,3.224857896545748,no,S,no
male,34.0,2da,0,single,2.6390573296152584,no,S,no
female,31.0,2da,2,family,3.305053521109253,no,S,yes
male,11.0,1ra,3,family,4.795790545596741,yes,S,yes
male,,3ra,1,couple,2.2530481500547457,no,C,yes
male,27.0,3ra,0,single,2.076311648670908,no,S,yes
male,31.0,3ra,0,single,2.1719067693519296,no,S,no
male,39.0,1ra,0,single,0.0,yes,S,no
female,18.0,3ra,0,single,2.1719067693519296,no,S,no
male,39.0,2da,0,single,2.6390573296152584,no,S,no
female,33.0,1ra,1,couple,3.9908341858524357,yes,S,yes
male,26.0,3ra,0,single,2.1846457951293594,no,S,no
male,39.0,3ra,0,single,3.224857896545748,no,S,no
male,35.0,2da,0,single,2.4423470353692043,no,S,no
female,6.0,3ra,6,family,3.4742929367327062,no,S,no
male,30.5,3ra,0,single,2.2027647577118348,no,S,no
male,,1ra,0,single,0.0,yes,S,no
female,23.0,3ra,0,single,2.188856327665703,no,S,no
male,31.0,2da,2,family,3.637696679934592,no,C,no
male,43.0,3ra,0,single,2.0082140323914683,no,S,no
male,10.0,3ra,5,family,3.3638415951183864,no,S,no
female,52.0,1ra,2,family,4.548599834499697,yes,S,yes
male,27.0,3ra,0,single,2.2682524139135403,no,S,yes
male,38.0,1ra,0,single,0.0,no,S,no
female,27.0,3ra,1,couple,2.600836116795061,yes,S,yes
male,2.0,3ra,5,family,3.705920919968788,no,S,no
male,,3ra,0,single,2.0731719286662407,no,Q,no
male,,3ra,0,single,4.05171190165724,no,S,no
male,1.0,2da,2,family,3.637696679934592,no,C,yes
male,,3ra,0,single,2.169053700369523,no,Q,yes
female,62.0,1ra,0,single,4.394449154672439,yes,X,yes
female,15.0,3ra,1,couple,2.737880811060884,no,C,yes
male,,2da,2,family,2.9831534913471307,no,S,yes
male,,3ra,0,single,2.1076888046179385,no,C,no
male,23.0,3ra,0,single,2.180891922715322,no,S,no
male,18.0,3ra,0,single,2.2300144001592104,no,S,no
female,39.0,1ra,2,family,4.432699549165613,yes,C,yes
male,21.0,3ra,0,single,2.2682524139135403,no,S,no
male,,3ra,0,single,2.2027647577118348,no,S,no
male,32.0,3ra,0,single,4.05171190165724,no,S,yes
male,,1ra,0,single,3.4242626545931514,yes,C,yes
male,20.0,3ra,0,single,2.188856327665703,no,S,no
male,16.0,2da,0,single,2.4423470353692043,no,S,no
female,30.0,1ra,0,single,3.4657359027997265,no,C,yes
male,34.5,3ra,0,single,2.006534770871748,no,C,no
male,17.0,3ra,0,single,2.2682524139135403,no,S,no
male,42.0,3ra,0,single,2.145931282948669,no,S,no
male,,3ra,10,family,4.256321678298823,no,S,no
male,35.0,3ra,0,single,2.1855792552411137,no,C,no
male,28.0,2da,1,couple,3.5263605246161616,no,S,no
female,,1ra,1,couple,4.500966778400217,yes,C,yes
male,4.0,3ra,6,family,3.4742929367327062,no,S,no
male,74.0,3ra,0,single,2.1719067693519296,no,S,no
female,9.0,3ra,2,family,2.7878344138303452,no,C,no
female,16.0,1ra,1,couple,3.6988297849671046,yes,S,yes
female,44.0,2da,1,couple,3.295836866004329,no,S,no
female,18.0,3ra,1,couple,2.336986519711378,no,S,yes
female,45.0,1ra,2,family,5.11118445372147,no,S,yes
male,51.0,1ra,0,single,3.3160025355989236,yes,S,yes
female,24.0,3ra,3,family,3.0085645861193133,no,C,yes
male,,3ra,0,single,2.1076888046179385,no,C,no
male,41.0,3ra,2,family,2.7152442616824506,no,S,no
male,21.0,2da,1,couple,2.5257286443082556,no,S,no
female,48.0,1ra,0,single,3.2932111997353943,yes,S,yes
female,,3ra,10,family,4.256321678298823,no,S,no
male,24.0,2da,0,single,2.6390573296152584,no,S,no
female,42.0,2da,0,single,2.6390573296152584,no,S,yes
female,27.0,2da,1,couple,2.698558631668595,no,C,yes
male,31.0,1ra,0,single,3.941500250945973,yes,S,no
male,,3ra,0,single,2.3513752571634776,no,S,no
male,4.0,3ra,2,family,2.495953738718064,no,S,yes
male,26.0,3ra,0,single,2.1855792552411137,no,S,no
female,47.0,1ra,2,family,3.9806942251907276,yes,S,yes
male,33.0,1ra,0,single,1.791759469228055,yes,S,no
male,47.0,3ra,0,single,2.302585092994046,no,S,no
female,28.0,2da,1,couple,3.2188758248682006,no,C,yes
female,15.0,3ra,0,single,2.1071782966514356,no,C,yes
male,20.0,3ra,0,single,2.3837779082709782,no,S,no
male,19.0,3ra,0,single,2.1855792552411137,no,S,no
male,,3ra,0,single,2.1855792552411137,no,S,no
female,56.0,1ra,1,couple,4.432699549165613,yes,C,yes
female,25.0,2da,1,couple,3.295836866004329,no,S,yes
male,33.0,3ra,0,single,2.1855792552411137,no,S,no
female,22.0,3ra,0,single,2.4437981558973862,no,S,no
male,28.0,2da,0,single,2.4423470353692043,no,S,no
male,25.0,3ra,0,single,2.085672091430472,no,S,no
female,39.0,3ra,5,family,3.405355391810819,no,Q,no
male,27.0,2da,0,single,2.6390573296152584,no,S,no
female,19.0,1ra,0,single,3.4339872044851463,yes,S,yes
female,,3ra,3,family,3.196630215920881,no,S,no
male,26.0,1ra,0,single,3.4339872044851463,yes,C,yes
male,32.0,3ra,0,single,2.169053700369523,no,Q,no
